userid	itemid_history	pos_target_index	itemid_candidate
17134	[597749, 185107, 516883, 482495, 212244]	1	[741664, 266780, 253916, 447919, 854965]
184469	[180918, 458151, 846882, 1016093, 616560]	2	[194579, 349820, 247090, 449358, 810170]
885064	[110944, 778364, 387060, 511157, 339702]	3	[644193, 214583, 600366, 920065, 202370]
1045392	[14864, 451071, 246597, 1074108, 98665]	3	[520081, 846882, 307780, 675598, 545600]
952660	[439411, 300882, 670320, 216262, 758085]	2	[308539, 917827, 748673, 1115793, 602105]
1172463	[246235, 246597, 771770, 576761, 246613]	3	[655226, 1052077, 1102992, 616523, 1054653]
469689	[246794, 699316, 216242, 1056696, 282204]	3	[898322, 919384, 476960, 1105835, 896151]
736502	[900355, 300527, 820396, 473680, 456571]	4	[1102814, 1055350, 1023484, 516893, 820409]
766127	[476620, 622827, 22879, 489745, 1062860]	4	[867631, 246306, 512322, 947648, 296225]
708158	[315152, 187552, 1051951, 307780, 253214]	4	[817379, 37237, 846227, 1078126, 253486]
936020	[190167, 324577, 967584, 732927, 258192]	3	[547360, 254426, 520623, 74235, 799769]
754315	[644193, 547190, 564162, 458151, 180918]	2	[100839, 577644, 846882, 1107293, 225029]
140878	[565982, 480586, 283111, 331296, 142784]	0	[67992, 900349, 497268, 279252, 635382]
685022	[1077937, 775298, 506865, 264263, 34975]	1	[686804, 881717, 240858, 458146, 83830]
162271	[522256, 15520, 65413, 460224, 246235]	2	[505811, 541829, 276033, 543622, 1101434]
185247	[219291, 541652, 455336, 91846, 614010]	4	[700867, 811969, 520678, 1009930, 1021656]
1353649	[864035, 516125, 601850, 882072, 490430]	0	[349882, 162603, 296225, 248109, 1088803]
1315279	[524496, 244976, 26623, 878433, 300441]	0	[130816, 230016, 979052, 516859, 431535]
561671	[260151, 407928, 103198, 521340, 1059851]	2	[811946, 192035, 72156, 375790, 459806]
497484	[33004, 225489, 242605, 469814, 182108]	2	[600058, 790368, 602032, 586989, 879278]
44433	[878433, 505811, 26623, 130816, 524496]	1	[220712, 463121, 605575, 600548, 961039]
175988	[616560, 547190, 846883, 269560, 846871]	0	[265667, 560486, 635382, 442077, 278641]
924160	[281010, 443335, 520735, 506, 300590]	4	[638641, 1065407, 600726, 819540, 313476]
16621	[197452, 811624, 15522, 159979, 187358]	2	[1101434, 297726, 234872, 490181, 516497]
1294844	[809521, 875393, 815257, 919756, 37338]	0	[337118, 338502, 707528, 861424, 23302]
317833	[820409, 220675, 460, 388753, 263668]	3	[300631, 896327, 553774, 520659, 95122]
55939	[550065, 203026, 614010, 455336, 410254]	3	[1094348, 1051174, 750704, 393245, 820903]
137344	[626718, 331435, 631466, 1056584, 516251]	2	[176191, 600366, 863441, 906232, 900456]
598342	[516581, 106338, 812431, 876735, 478333]	4	[820952, 624389, 1059767, 212538, 283741]
1065689	[1032353, 13313, 760154, 272504, 233756]	2	[775381, 301010, 584241, 743991, 811958]
72629	[1025307, 203040, 900797, 1076104, 302922]	2	[269560, 27726, 809358, 515212, 328712]
821350	[251966, 283948, 862101, 627377, 855139]	3	[516525, 663169, 886133, 300018, 246599]
1289519	[846109, 576761, 546398, 846134, 803853]	4	[673636, 171597, 587, 1026004, 675598]
1410950	[263714, 563282, 164252, 209734, 879702]	1	[967584, 564154, 1069131, 584171, 17547]
172298	[600728, 820946, 67604, 300648, 1101305]	1	[864089, 1051714, 639688, 144683, 850288]
16801	[846883, 792654, 816814, 547190, 564162]	2	[300213, 13313, 180918, 863946, 190124]
636091	[479978, 243608, 381453, 81148, 345660]	0	[287179, 1055927, 23518, 157191, 103198]
1067292	[481, 300527, 239630, 282716, 263668]	1	[214583, 458831, 158317, 297546, 803853]
654619	[209734, 216215, 164252, 879702, 216701]	2	[1036444, 193031, 491760, 185107, 686210]
1198411	[1107344, 176737, 1010894, 246794, 214934]	1	[584165, 876953, 297651, 337119, 254939]
567067	[308620, 1076104, 344790, 972209, 249544]	3	[30641, 148525, 220743, 809358, 584262]
932974	[1044028, 516251, 626718, 547886, 446185]	2	[158832, 909816, 626380, 254825, 790368]
911206	[187552, 788036, 615224, 29784, 627227]	2	[1106440, 626709, 1051175, 1026004, 908618]
903445	[741664, 1090965, 1043894, 130364, 1036760]	4	[267951, 345660, 1037017, 263082, 1044821]
813172	[210814, 464292, 1103912, 16225, 654217]	4	[768205, 1102992, 1062546, 885622, 1060513]
280745	[616560, 846883, 516885, 265667, 247090]	1	[812590, 846882, 843815, 812550, 302470]
1193346	[212574, 863666, 276137, 851436, 780186]	0	[846187, 331179, 474324, 207566, 11817]
1325305	[317343, 1061158, 451377, 498800, 34975]	1	[861961, 886133, 354225, 468208, 1056584]
412328	[434309, 1050985, 1113991, 837446, 568000]	3	[1059787, 861961, 465212, 95535, 547886]
292011	[1050985, 805616, 697788, 788041, 1032351]	2	[753629, 780186, 8315, 794690, 563184]
247871	[1044834, 834072, 808643, 819708, 192686]	2	[410253, 315152, 334737, 601217, 196188]
780019	[473680, 198972, 600548, 820409, 327246]	2	[445212, 811969, 450, 214583, 625636]
781898	[864447, 837446, 883740, 1113991, 1053272]	0	[300778, 634556, 781089, 681360, 34577]
966446	[565890, 515291, 180402, 1012934, 815857]	4	[328408, 212155, 700867, 561197, 957464]
1401252	[1086922, 541652, 519694, 302922, 455336]	2	[630993, 456571, 441774, 192035, 511687]
58158	[900470, 959949, 900463, 820946, 1059798]	2	[574973, 1105151, 600728, 910917, 1044834]
591856	[959949, 1098216, 221093, 300648, 220789]	0	[67604, 308531, 158317, 173049, 520081]
668993	[102723, 732927, 653716, 2529, 664803]	3	[1059787, 803853, 178952, 809666, 1051951]
799516	[468908, 460224, 196188, 514116, 1090965]	1	[852938, 864078, 780646, 200635, 244976]
1078456	[459806, 864078, 504661, 1094348, 10312]	4	[142784, 788041, 267951, 394727, 246597]
1309261	[784863, 652233, 218261, 802901, 1053373]	0	[511687, 144683, 859845, 300901, 442077]
1074120	[900341, 844543, 560486, 520659, 220302]	2	[339452, 338206, 381854, 386206, 863666]
912687	[811915, 880231, 551465, 919389, 396326]	1	[820903, 1053248, 171597, 95535, 300648]
873176	[696406, 814750, 234872, 1036760, 276033]	2	[979062, 1025272, 15522, 200635, 146265]
846693	[817727, 820396, 1105151, 534768, 92053]	0	[900394, 17547, 35262, 631626, 1050715]
1092763	[335327, 15355, 587274, 816257, 746535]	0	[818946, 583185, 212191, 46261, 263668]
638338	[188362, 1055789, 273258, 430390, 349820]	3	[315191, 859845, 562794, 1012931, 715]
1286841	[929615, 215327, 515291, 577113, 815857]	2	[1075809, 597749, 868389, 489490, 639736]
1334790	[516357, 854965, 547886, 331453, 631466]	0	[1070792, 924635, 400538, 354225, 1036032]
936055	[809666, 1100942, 653716, 760390, 190167]	3	[215515, 596804, 844543, 324577, 513529]
559520	[844547, 867261, 1059767, 812123, 1103605]	0	[165147, 567542, 342752, 603442, 515235]
916300	[772961, 815806, 900302, 764118, 768139]	4	[1030690, 345660, 661314, 817379, 666835]
1195218	[223992, 330241, 906232, 1101434, 906229]	2	[180401, 230268, 607662, 1074188, 1078053]
1140129	[771770, 187358, 15520, 246613, 159979]	2	[864348, 282222, 246599, 900797, 1006232]
180976	[264067, 214948, 1061408, 755151, 362522]	2	[7187, 900089, 1053255, 583171, 900452]
1061308	[1053255, 812529, 900568, 811914, 683926]	3	[905629, 519702, 338846, 149330, 574686]
1173523	[900302, 1064822, 354224, 764118, 596804]	1	[430280, 1055901, 906229, 336125, 809501]
203635	[246599, 1094348, 197452, 212938, 919384]	3	[813782, 852938, 441774, 247621, 251966]
195990	[287179, 83830, 515255, 215280, 815290]	0	[479978, 465212, 564559, 811956, 900240]
1283132	[74235, 957464, 584623, 1106755, 278641]	4	[587, 775048, 768205, 8315, 868389]
907276	[887337, 881665, 193031, 1106523, 980367]	4	[1053373, 173659, 758085, 448641, 1062685]
385501	[928071, 1053282, 1046853, 582230, 644852]	1	[253916, 1053285, 906238, 581974, 330380]
132437	[455348, 1106755, 430390, 188362, 277628]	4	[331453, 565993, 741491, 307568, 267951]
545880	[349882, 882072, 663642, 600649, 222798]	2	[1059714, 456571, 811381, 39412, 627008]
629993	[492214, 263082, 214934, 710877, 1056696]	3	[1050985, 825066, 920025, 176737, 758085]
1386905	[300081, 264349, 1106440, 515212, 635382]	0	[919090, 327307, 690312, 99826, 755177]
467461	[652233, 511687, 81159, 654217, 802901]	1	[778356, 677285, 1051924, 287234, 967584]
1394248	[27726, 741469, 1038468, 611816, 480586]	0	[331253, 15129, 1074108, 886133, 346699]
966110	[821010, 407928, 103198, 1059851, 884053]	4	[547152, 730819, 348009, 225225, 178350]
1015338	[314425, 282316, 959911, 979379, 1032353]	1	[1054196, 995495, 282204, 343355, 564127]
683624	[741664, 98665, 616523, 180401, 1094348]	1	[584623, 246306, 492214, 490430, 668049]
733035	[29784, 11817, 788037, 545600, 33776]	2	[478333, 1046853, 509713, 846134, 651189]
252411	[520659, 947677, 220315, 228546, 388753]	0	[92053, 95535, 639756, 514116, 584171]
1187922	[130364, 811624, 864078, 1074108, 15520]	3	[1101709, 886911, 331101, 234872, 10920]
64522	[812708, 930511, 608532, 148257, 819545]	0	[843815, 179009, 103076, 300018, 861424]
1420951	[237549, 608464, 212131, 811946, 807]	4	[568234, 770181, 529922, 266780, 44853]
1159016	[430390, 277628, 273258, 868389, 957464]	4	[608947, 11230, 564130, 600548, 1055789]
710939	[564162, 771783, 348009, 644193, 180918]	2	[1059787, 300628, 744864, 351775, 75639]
991306	[699316, 338502, 456464, 282204, 755177]	1	[695817, 1107344, 456506, 285437, 34984]
247608	[812531, 608556, 308551, 512682, 710187]	4	[1089868, 887336, 265666, 864721, 13313]
1185072	[638922, 490181, 741491, 901401, 1022919]	3	[516119, 779213, 710187, 819004, 490211]
310625	[148257, 176412, 8374, 812708, 930511]	0	[133432, 626528, 212538, 597114, 753197]
1209871	[751657, 542850, 701195, 479140, 1069131]	4	[434309, 1059787, 900787, 283948, 859712]
1433281	[708802, 505811, 269683, 878435, 26623]	3	[504661, 214609, 325979, 740113, 757463]
236847	[242605, 218915, 484445, 506200, 342886]	1	[391770, 469814, 634556, 279889, 1102427]
213307	[1078053, 234872, 24960, 246487, 576761]	3	[1020394, 699316, 1058326, 11623, 282802]
1361266	[215189, 515936, 506, 600626, 520735]	4	[338511, 995495, 165972, 300699, 900397]
368005	[196188, 514116, 563184, 864078, 460224]	3	[513258, 878452, 254825, 522256, 505114]
862429	[276137, 1047069, 639736, 511957, 486876]	4	[639227, 600604, 225225, 216701, 573110]
733582	[354225, 1055835, 1012931, 764118, 354224]	1	[1036444, 600442, 638902, 900797, 861961]
1425267	[584171, 849875, 816257, 330553, 169]	4	[220315, 1081649, 251060, 811923, 587274]
1021271	[523176, 954111, 774080, 8400, 878403]	1	[342752, 86292, 264227, 779749, 190124]
671582	[900432, 591, 300628, 39092, 900452]	2	[1105947, 771770, 635, 1015085, 815292]
953426	[910927, 584165, 543715, 264349, 300081]	0	[515830, 1103605, 1041638, 212089, 565961]
927511	[1062287, 922943, 626718, 446185, 631466]	3	[308531, 191351, 172449, 331453, 650083]
1336433	[473680, 458831, 1059686, 863657, 975380]	3	[198972, 900508, 627550, 220735, 243608]
764829	[849603, 335414, 812550, 928071, 816295]	4	[932584, 919756, 755151, 852823, 212129]
985229	[480381, 300767, 782692, 1032353, 959911]	2	[462786, 98665, 995495, 373102, 1102447]
1316895	[584241, 13313, 932584, 282316, 811915]	3	[879702, 825066, 516498, 272504, 30502]
631222	[600616, 1103605, 820229, 635, 844547]	0	[300628, 932584, 598924, 313999, 277804]
647056	[611816, 331253, 26815, 681360, 510968]	0	[31455, 763060, 811927, 919389, 961987]
325908	[1062109, 1060513, 210814, 173049, 286408]	1	[654217, 12537, 961987, 862393, 553327]
1030016	[967584, 1015485, 664803, 176353, 779211]	1	[15, 165972, 37237, 442077, 300445]
681987	[212129, 241896, 644852, 1001363, 1053282]	2	[512322, 173049, 582230, 1098488, 153853]
1310207	[846883, 269560, 248664, 516885, 1064708]	2	[253916, 639273, 771783, 510968, 455368]
1318762	[75639, 61815, 375863, 638922, 899195]	0	[818999, 217760, 1098216, 634991, 649876]
483753	[516251, 626380, 1070792, 331435, 863441]	2	[900463, 405662, 1056584, 579377, 210438]
514403	[758085, 212155, 212168, 900631, 92297]	1	[431421, 1105947, 331296, 354231, 138900]
186496	[919389, 512686, 300767, 272504, 314425]	1	[245535, 601021, 220735, 615832, 258192]
897066	[615224, 627227, 243160, 307780, 187552]	3	[456506, 583917, 39053, 788036, 600548]
1386098	[911880, 900432, 388754, 635, 820229]	1	[386184, 581974, 959911, 922397, 636190]
1321591	[710877, 195657, 214934, 263082, 246794]	1	[282031, 699316, 2327, 327992, 811977]
460651	[811915, 782692, 282316, 396326, 812530]	3	[512686, 372464, 338846, 932584, 636233]
1094966	[1098943, 639756, 251002, 511957, 850337]	0	[461895, 381975, 456347, 868389, 95393]
269354	[880749, 790368, 709999, 308539, 663174]	3	[1101366, 466156, 452749, 11870, 1057696]
1227207	[300581, 39092, 600616, 1059767, 1102432]	3	[772185, 264263, 299713, 388754, 28050]
861451	[657326, 151832, 1078745, 980367, 465067]	2	[1075531, 1001363, 633627, 75639, 628469]
893207	[755177, 456464, 492214, 263082, 214934]	3	[180741, 900787, 683926, 1107344, 1102814]
682410	[39053, 519706, 176411, 811381, 752580]	0	[663642, 906232, 512684, 13869, 430390]
393669	[881717, 1030168, 775298, 95122, 34975]	2	[1050685, 554639, 502743, 642706, 265336]
514371	[512686, 615639, 812531, 255602, 601021]	0	[889499, 584169, 622964, 811381, 884053]
451888	[608464, 235019, 639227, 448641, 458146]	1	[580874, 338846, 250099, 357602, 760154]
1020346	[627306, 2637, 1056762, 816453, 753631]	4	[952876, 14030, 864721, 963480, 1065581]
1463428	[1055835, 354225, 596804, 905761, 354224]	1	[65413, 666835, 209212, 1098488, 300895]
863777	[482488, 790726, 602032, 190124, 452458]	1	[296225, 242605, 837762, 264068, 464287]
986911	[141, 330553, 587274, 818946, 686228]	4	[595627, 246487, 339725, 815394, 335327]
502782	[861424, 809747, 168302, 29704, 314069]	0	[748136, 1060745, 625232, 177077, 516357]
1344331	[130816, 300441, 822171, 106338, 876735]	1	[198720, 478333, 433880, 1101305, 403884]
1034833	[300850, 512322, 241896, 811972, 849603]	2	[274023, 1105947, 327307, 638641, 331037]
22358	[7187, 775298, 95122, 198558, 189599]	4	[516893, 1097298, 1055351, 300441, 502743]
561781	[83830, 81148, 909982, 243608, 381453]	3	[283111, 917956, 30921, 815290, 373154]
380199	[874549, 878177, 600911, 734801, 300882]	3	[150140, 547360, 215189, 212538, 16228]
937069	[300628, 900452, 1076994, 564, 820229]	3	[217628, 900496, 1026004, 635, 468840]
776282	[657326, 64014, 622946, 151832, 1078745]	0	[584459, 900453, 898322, 1047069, 94249]
712532	[479978, 1066648, 887336, 24666, 83830]	2	[212244, 482488, 336125, 338512, 745003]
449803	[81144, 95122, 1030168, 317343, 547357]	0	[642706, 211775, 250919, 638641, 512261]
1341734	[541652, 441774, 455336, 819540, 410253]	3	[850289, 881665, 282204, 1115793, 1075646]
314375	[212155, 216262, 1093605, 874549, 312176]	3	[753248, 323567, 378669, 758085, 753248]
1374080	[1104502, 300581, 1076994, 1059767, 388754]	1	[910917, 820229, 11870, 1053892, 491903]
894322	[196188, 1090965, 468908, 1088803, 246487]	1	[802921, 180401, 919522, 881665, 520678]
1312055	[210814, 218261, 12537, 286408, 173049]	4	[346759, 1059412, 300809, 299060, 1062109]
1362667	[246487, 246597, 246499, 246599, 149195]	2	[630993, 630261, 246498, 282716, 744864]
1376067	[919389, 396326, 811914, 812531, 811915]	2	[461834, 205101, 811921, 1062546, 148257]
644761	[600649, 516125, 601850, 864035, 349882]	3	[180401, 194899, 849875, 222798, 14693]
827837	[802060, 834072, 1093367, 342752, 808643]	2	[1107395, 696406, 192686, 1053248, 343355]
866002	[62246, 498800, 189599, 506865, 451377]	0	[342941, 470040, 709999, 809746, 864347]
426713	[441774, 91846, 252853, 249544, 1041394]	1	[164753, 741493, 636190, 64620, 628493]
907948	[146265, 1051175, 253486, 545600, 307780]	4	[1009930, 640492, 778356, 37237, 33776]
1292642	[900349, 947677, 550, 1004194, 900394]	3	[1059851, 11817, 250099, 975380, 863547]
739730	[864146, 802, 212105, 597821, 44853]	2	[686210, 26102, 300809, 1061262, 342752]
20275	[269599, 400538, 655197, 862296, 980804]	0	[512530, 587, 515420, 568234, 263668]
24212	[313525, 596804, 1055901, 1012931, 666835]	0	[900302, 520850, 108205, 26623, 151457]
1336906	[608556, 214948, 512686, 959911, 919389]	1	[516555, 979379, 864520, 807810, 225489]
72435	[283948, 812338, 957, 196603, 627377]	2	[812708, 322962, 998017, 317653, 322962]
1041360	[601021, 1054653, 1061408, 282316, 175442]	3	[849603, 1078191, 81013, 551465, 1056762]
492924	[362522, 272504, 601021, 979379, 300767]	2	[218261, 562733, 782692, 850288, 901401]
787202	[622964, 878177, 364925, 600911, 28452]	2	[885622, 171400, 614234, 106338, 450]
102649	[456571, 300527, 158430, 975380, 550]	3	[220302, 221093, 603442, 220735, 561710]
101574	[445212, 1092029, 792654, 458151, 262187]	2	[521340, 446185, 616560, 391770, 439847]
981148	[686208, 1069130, 466156, 110944, 188681]	2	[901745, 173049, 459812, 1047209, 600366]
742930	[482486, 33004, 242605, 218915, 372464]	2	[900397, 951925, 327992, 75639, 516125]
1269240	[1102097, 900089, 15355, 13452, 330553]	2	[328408, 747148, 849875, 144635, 519229]
485133	[262187, 180918, 269560, 796478, 564162]	0	[792654, 709999, 884053, 1056999, 248109]
608140	[614026, 34984, 964825, 1075907, 1069131]	3	[597114, 28050, 338167, 307568, 228322]
961653	[269683, 516581, 106338, 407, 130816]	2	[611960, 54180, 26623, 1044731, 567542]
977915	[246597, 846116, 15520, 149195, 246498]	0	[451071, 874933, 1078749, 520081, 299713]
1321948	[445212, 644193, 616560, 792654, 248664]	0	[212233, 83830, 818946, 86252, 640492]
284157	[565982, 142784, 611816, 283111, 739798]	1	[626718, 510968, 487957, 263340, 562150]
735682	[520081, 470040, 639120, 434528, 368723]	2	[1105835, 85291, 1058326, 456348, 1032353]
762971	[1078126, 220029, 699316, 1056696, 282204]	2	[2516, 274846, 263082, 252853, 1107293]
780323	[300527, 900355, 1059686, 820409, 1100319]	1	[546718, 282716, 102687, 775298, 564858]
1243830	[1102432, 820229, 844547, 212191, 635]	1	[449821, 900452, 817727, 789311, 600566]
1414990	[582076, 563185, 774648, 175818, 492316]	0	[476023, 212181, 1036032, 1010894, 803154]
121452	[463233, 138900, 189599, 284510, 451377]	0	[949959, 607662, 567966, 690312, 216570]
1399149	[900470, 67604, 505111, 757475, 1051714]	1	[844543, 820898, 491911, 812001, 110944]
1361037	[17474, 810885, 731241, 246498, 246599]	3	[639120, 511957, 381854, 846247, 1059686]
1279284	[98665, 1074108, 843429, 234872, 919384]	1	[591, 65413, 898322, 207566, 587274]
343105	[110944, 920065, 1043466, 511157, 339702]	3	[185113, 851237, 846247, 188681, 1056620]
1078687	[481205, 11892, 553779, 375790, 314248]	3	[820903, 816483, 11230, 228322, 62246]
709015	[1031994, 710877, 1078126, 176737, 492214]	2	[17474, 212592, 546718, 95591, 600625]
631743	[520623, 600548, 221989, 158430, 949959]	1	[1075646, 327246, 686228, 961987, 468908]
1105960	[846882, 212233, 265667, 771783, 541829]	3	[846187, 565982, 411090, 846411, 869398]
783646	[1059767, 900432, 812123, 388754, 900409]	1	[324232, 342630, 809501, 301010, 225489]
960803	[1086009, 630261, 906232, 277001, 906229]	2	[300590, 568234, 11230, 343355, 811914]
737232	[510, 844543, 820396, 300551, 220302]	2	[284405, 246599, 388753, 162603, 34806]
658983	[919412, 149294, 865587, 628113, 583917]	2	[473786, 30641, 808828, 491886, 552524]
13430	[364925, 28452, 812559, 874549, 216262]	2	[757463, 34806, 300882, 879350, 919900]
680651	[177077, 511687, 173049, 1062109, 1053373]	1	[822171, 286408, 451377, 1115606, 348009]
738593	[1041394, 519694, 455336, 410253, 495160]	4	[513529, 151514, 874933, 323567, 614010]
1456042	[771770, 814750, 234872, 196188, 563184]	4	[512709, 461834, 900496, 49949, 197452]
758752	[220675, 1004194, 520659, 844543, 473680]	3	[164165, 1089872, 564150, 925494, 300581]
30738	[308539, 651189, 709999, 375589, 663174]	0	[790368, 1011066, 852938, 732927, 878177]
790152	[1061158, 138900, 498800, 1077937, 203472]	0	[439847, 975743, 561710, 762663, 342752]
492935	[779745, 1041406, 1058326, 434528, 639120]	0	[770181, 780209, 1059686, 13452, 67992]
440170	[1012934, 900302, 596804, 1055835, 764118]	4	[314069, 979478, 802921, 666835, 768139]
1122043	[616139, 11892, 375790, 487957, 553779]	2	[214934, 1052635, 228322, 1058329, 220029]
429935	[811956, 490211, 300850, 812542, 1053285]	4	[1037622, 511157, 600746, 376678, 780646]
493378	[584241, 272504, 760154, 959911, 496169]	2	[26815, 1101572, 547245, 607662, 17547]
289303	[583917, 267978, 542850, 34984, 701195]	4	[482486, 577644, 272965, 1047069, 558450]
1197697	[817354, 801571, 217628, 780209, 217553]	2	[239630, 354225, 919522, 300590, 868389]
1353693	[1093605, 300882, 439411, 28452, 670320]	2	[564559, 1056489, 212168, 863367, 560486]
1136871	[516125, 490430, 176411, 349882, 600649]	3	[917956, 103198, 34984, 663642, 1101572]
703272	[626380, 144635, 631466, 446185, 626718]	1	[1059767, 625636, 564150, 300427, 864447]
902298	[345660, 381453, 254426, 479978, 867631]	1	[617119, 287179, 300640, 812858, 16225]
562095	[771770, 246597, 246487, 98665, 919384]	1	[792654, 10312, 600726, 157903, 1031994]
1375579	[187358, 522256, 234872, 547649, 741664]	1	[1044731, 1090965, 862244, 486876, 910303]
893906	[909982, 254426, 287179, 515255, 479978]	0	[582682, 510968, 410254, 583185, 277940]
1217962	[615224, 281442, 788036, 307780, 1051951]	2	[282616, 862244, 315152, 616523, 198970]
754862	[863657, 506217, 900355, 198972, 481]	2	[456347, 808354, 220315, 900341, 563582]
770653	[192686, 802060, 342752, 808643, 959833]	1	[300527, 834072, 661007, 1009930, 709999]
685432	[611816, 510968, 26815, 1038468, 180046]	0	[67992, 614541, 952876, 1103605, 450]
1228676	[809747, 1042802, 1075646, 251060, 29704]	4	[407, 1034067, 902041, 562794, 809502]
613510	[308551, 932584, 338167, 920025, 255602]	0	[584241, 669178, 923378, 94249, 331259]
1002740	[212574, 863666, 1089868, 1078047, 151184]	4	[386410, 300081, 628469, 264227, 511957]
478252	[187358, 276033, 460224, 196188, 130364]	0	[864078, 37237, 900496, 277724, 649877]
1303642	[597857, 837446, 550180, 1050985, 95535]	4	[1107293, 492214, 1044037, 908618, 67025]
1036710	[99826, 276785, 577644, 997576, 910303]	0	[794690, 281442, 562915, 339702, 300767]
970975	[300778, 280705, 837446, 67025, 550180]	3	[601021, 220789, 900631, 23302, 550]
338503	[550065, 519694, 741493, 819540, 1041394]	1	[237778, 249544, 479140, 921557, 741492]
884697	[49949, 456464, 263082, 699316, 214934]	4	[811956, 212233, 131559, 237890, 755177]
598563	[820983, 103198, 497021, 1059851, 821010]	2	[396326, 277001, 178350, 1056618, 600616]
792626	[24457, 614234, 998098, 886822, 811977]	2	[1050985, 130263, 28452, 808354, 815292]
835310	[65413, 196188, 843429, 276033, 563184]	0	[522256, 452458, 901276, 547190, 948929]
1289661	[812528, 480381, 755151, 338167, 932584]	0	[900545, 368723, 300640, 775381, 458151]
1106338	[775298, 138900, 463233, 189599, 1061156]	1	[14693, 247250, 72156, 1078047, 393245]
626499	[1041394, 252853, 441774, 661314, 91846]	0	[541652, 1060513, 25827, 843815, 168247]
971568	[220712, 449821, 820816, 443335, 803154]	0	[506, 339452, 583939, 574879, 817354]
541333	[631466, 331435, 626718, 144635, 516251]	3	[634845, 511092, 850643, 922894, 519694]
93690	[634845, 246613, 522256, 65413, 1074108]	4	[1031994, 1062464, 203472, 268116, 771770]
1022587	[75639, 886911, 899195, 490181, 582368]	3	[630261, 133432, 550467, 61815, 328408]
21819	[899195, 638922, 1022919, 297726, 1102992]	1	[921073, 741491, 448577, 600548, 1055776]
992513	[277628, 334488, 565890, 815857, 349820]	1	[481205, 577113, 44922, 1106916, 644852]
1073329	[172449, 797649, 403884, 94249, 1055351]	2	[458831, 846691, 215588, 699316, 862393]
133858	[515310, 315191, 578049, 44853, 512239]	1	[1055024, 338846, 1102432, 824269, 459806]
838783	[14864, 209532, 741664, 196188, 814750]	4	[521514, 922397, 81712, 351775, 522256]
860128	[811972, 335414, 582230, 812542, 928071]	1	[819544, 849603, 998098, 525356, 180918]
112143	[837446, 788041, 26102, 8315, 209212]	2	[300549, 639512, 1113991, 1074108, 391368]
1313681	[522256, 98665, 460224, 246235, 187358]	0	[65413, 217709, 468840, 631293, 864447]
1424922	[265666, 1078047, 846227, 276137, 639736]	0	[850337, 330553, 15129, 1043466, 1102447]
894644	[819544, 519694, 455336, 541652, 134765]	1	[923378, 900797, 1004194, 1051175, 470040]
1309792	[14863, 246235, 246613, 803853, 209532]	2	[451658, 629604, 246499, 710187, 1029591]
945178	[362522, 175442, 782692, 979379, 932584]	2	[586513, 29784, 255602, 220712, 216529]
419082	[909982, 887336, 243608, 336125, 345660]	0	[579377, 515830, 753248, 300527, 1098943]
1143131	[315152, 615224, 29784, 509713, 11817]	0	[146265, 910646, 180401, 135148, 61981]
386314	[282616, 587274, 141, 584171, 335327]	2	[649876, 881717, 849875, 249544, 465067]
1411130	[215230, 561710, 215341, 337118, 750769]	4	[864721, 867261, 900397, 465212, 37338]
801094	[1115794, 225489, 342886, 281243, 602032]	2	[917956, 1024513, 482486, 1100073, 567542]
767512	[601126, 364925, 24457, 748673, 439411]	1	[1075469, 812559, 67649, 254939, 175442]
1208945	[809501, 681368, 331259, 180046, 1038468]	2	[448577, 100839, 331253, 1101692, 978961]
928624	[219291, 550065, 900797, 541652, 519229]	4	[820898, 169, 323567, 342886, 741493]
979521	[246235, 634845, 65413, 246597, 187358]	3	[1059360, 506, 1106916, 246555, 638641]
1283456	[595627, 515420, 15, 214609, 462473]	1	[1008012, 788488, 330378, 919412, 998017]
1310795	[568000, 550180, 1081649, 95535, 805616]	1	[524620, 615722, 14693, 296336, 876953]
710414	[144635, 446185, 922943, 331435, 516251]	1	[864447, 331453, 577113, 1090965, 543622]
84552	[338502, 216242, 176737, 1031994, 492214]	0	[456464, 451377, 819544, 269929, 819004]
416078	[811921, 811923, 149330, 755151, 212089]	3	[521340, 949252, 900394, 272504, 246498]
333102	[780646, 1046853, 33047, 15592, 634722]	1	[311565, 1053285, 746936, 64647, 16225]
92548	[282316, 608556, 979379, 959911, 1054653]	0	[272504, 17474, 163289, 274023, 820898]
1202554	[273258, 515235, 455348, 1055927, 215515]	4	[25827, 813176, 439241, 169962, 565890]
88247	[521340, 178350, 103198, 497021, 520850]	2	[601126, 699317, 681, 820229, 1032353]
917078	[212233, 846883, 792654, 564162, 269560]	3	[552524, 314069, 336125, 265667, 375589]
714214	[675598, 810885, 246597, 616523, 10312]	4	[348009, 1037017, 622827, 331253, 246498]
970070	[565961, 212938, 546398, 547649, 514116]	1	[262740, 460224, 916896, 224328, 577113]
172203	[506217, 458831, 228546, 817727, 239630]	3	[214583, 905672, 15520, 460, 220815]
1219414	[652233, 228638, 677285, 565974, 218261]	1	[820816, 16225, 627654, 603442, 811956]
723867	[563184, 811624, 187358, 468908, 1088803]	0	[864078, 945809, 563185, 326571, 560486]
481672	[372464, 182108, 506200, 484445, 482488]	3	[297546, 459551, 1104502, 469814, 279574]
519642	[130364, 15522, 187358, 905629, 547649]	4	[565890, 808354, 339702, 459806, 180401]
1354468	[515732, 632017, 860496, 1055350, 1055351]	1	[975743, 883415, 534768, 195657, 997576]
